filename,label,n_seconds,attention_mean,social_mean,language_mean,valuation_mean,auditory_mean,motion_mean,narrative_mean,attention_hook,social_hook,language_hook,valuation_hook,auditory_hook,motion_hook,narrative_hook,attention_offset,social_offset,language_offset,valuation_offset,auditory_offset,motion_offset,narrative_offset,attention_peak_s,social_peak_s,language_peak_s,valuation_peak_s,auditory_peak_s,motion_peak_s,narrative_peak_s,attention_ts_ratio,social_ts_ratio,language_ts_ratio,valuation_ts_ratio,auditory_ts_ratio,motion_ts_ratio,narrative_ts_ratio,composite_raw,gfp_mean,gfp_hook,gfp_offset,vmPFC_TPJ_coupling,pleasantness_index
huberman_003.mp4,huberman_003,51,0.016631,0.033982,-0.012817,0.028978,0.065829,-0.00657,0.020125,-0.019896,0.00711,-0.067527,-0.015501,0.02812,-0.081252,-0.01697,0.094385,0.080894,0.038919,0.072593,0.124253,0.007909,0.061494,50,50,50,50,50,39,50,-1.4333,-0.2175,-28.9139,-0.7661,0.1651,-20.9347,-1.0769,0.021722,0.189309,0.215623,0.159935,0.9944,0.023651
huberman_004.mp4,huberman_004,50,0.021463,0.027175,-0.017334,0.023267,0.058388,-0.012887,0.014777,-0.026038,0.004498,-0.052799,-0.013655,0.018151,-0.07721,-0.015123,0.068317,0.03742,-0.020401,0.028212,0.095765,-0.037213,0.011721,49,49,49,49,49,31,49,-1.2229,-0.2573,-7.6085,-0.7685,0.0993,-44.7295,-1.1451,0.0184,0.168776,0.192534,0.16873,0.9945,0.015961
huberman_005.mp4,huberman_005,59,0.052323,0.058948,0.003279,0.051718,0.093554,-0.003313,0.042344,-0.026191,0.008125,-0.063174,-0.012947,0.022874,-0.083067,-0.017377,0.201687,0.198274,0.140779,0.181021,0.221866,0.05474,0.178859,58,58,58,58,58,55,58,-0.4773,0.1186,-5.7931,-0.2154,0.2258,-14.3089,-0.3359,0.047026,0.181427,0.20154,0.25659,0.9947,0.002722
huberman_006.mp4,huberman_006,28,-0.0414,-0.019924,-0.068627,-0.030626,0.014663,-0.059022,-0.037082,-0.048544,-0.038853,-0.090539,-0.057403,-0.005942,-0.120223,-0.063616,0.068774,0.075497,0.024368,0.067455,0.120798,0.009777,0.05952,27,27,27,27,27,24,27,-1.4462,-2.6836,-1.4429,-2.5168,-0.2904,-2.7395,-2.1243,-0.034526,0.185218,0.186902,0.180634,0.9957,0.01109
huberman_007.mp4,huberman_007,37,-0.009082,0.013778,-0.023594,0.007503,0.049677,-0.039528,0.004968,-0.043569,-0.034939,-0.085611,-0.048646,-0.004672,-0.11888,-0.054684,0.109331,0.094241,0.056875,0.087308,0.137827,-0.007733,0.08146,36,36,36,36,36,31,36,-23.4514,-1.6297,-9.8174,-2.6655,-0.2016,-5.0245,-3.247,0.001222,0.171349,0.186013,0.164148,0.9975,0.014328
huberman_008.mp4,huberman_008,50,0.001931,0.012181,-0.018695,0.011114,0.040614,-0.011544,0.004611,-0.032036,-0.001119,-0.029929,-0.009734,0.000447,-0.033024,-0.010734,0.123351,0.094476,0.030886,0.078531,0.145084,-0.033369,0.066853,49,49,49,49,49,13,49,-4.9401,-0.5131,-2.2314,-1.0337,-0.1682,-3.4661,-2.1277,0.005332,0.151826,0.149184,0.18612,0.9896,0.024125
sahil_001.mp4,sahil_001,35,0.034258,0.055566,0.040231,0.052221,0.053811,0.000289,0.05813,0.021096,0.0593,0.041943,0.04347,0.02913,-0.027096,0.058006,0.052048,0.042939,0.007183,0.036342,0.077521,-0.03973,0.030666,34,17,17,16,34,16,16,0.4237,1.0524,1.2664,0.8308,0.3808,-5.2319,1.0499,0.045575,0.164189,0.194617,0.124921,0.9897,0.00184
sahil_002.mp4,sahil_002,22,0.034901,0.045285,-0.032912,0.02092,0.073294,-0.058435,0.017331,0.01225,0.012388,-0.09894,-0.029393,0.046733,-0.137349,-0.037001,0.21323,0.156426,0.056805,0.118197,0.214426,-0.077843,0.115675,18,17,16,17,17,15,16,0.0297,0.0987,-13.9717,-0.7823,0.4025,-3.7003,-1.0041,0.023816,0.243244,0.226963,0.307321,0.9912,-0.040218
sahil_003.mp4,sahil_003,38,0.004983,0.022334,-0.012594,0.015989,0.049176,-0.02382,0.012319,-0.053301,-0.040301,-0.106006,-0.056308,-0.023836,-0.07389,-0.065514,0.031311,0.024456,-0.013895,0.014577,0.053674,-0.027538,0.008484,37,13,11,21,37,13,11,-3.1742,-1.2109,-66.6582,-1.9132,-0.4024,-4.5586,-2.4824,0.011245,0.158861,0.171735,0.108752,0.9945,0.010275
sahil_004.mp4,sahil_004,23,0.083713,0.082657,0.010234,0.061138,0.115386,-0.026215,0.057019,-0.026414,-0.013203,-0.071705,-0.028472,0.020462,-0.081272,-0.035067,0.186054,0.095701,-0.030403,0.053919,0.179682,-0.120853,0.040097,17,16,16,16,17,16,16,-0.2593,-0.1374,-1.9656,-0.3396,0.1069,-5.841,-0.4279,0.065611,0.240594,0.188469,0.352063,0.9855,-0.040503
sahil_005.mp4,sahil_005,41,-0.001655,0.010245,-0.008653,0.003507,0.023908,-0.042849,0.005523,-0.017429,0.003146,-0.015602,-0.008144,-0.0032,-0.059115,-0.005123,0.002626,-0.009373,-0.062389,-0.014458,0.036149,-0.043915,-0.026742,40,17,16,17,40,19,17,-30.9984,0.01,-1.7423,-2.1436,-0.2,-1.5979,-1.106,0.002084,0.12118,0.137676,0.119531,0.9952,-0.005523
sahil_006.mp4,sahil_006,37,0.03443,0.055403,0.014089,0.047795,0.077133,-0.006557,0.045903,-0.054896,-0.042613,-0.102661,-0.057286,-0.013239,-0.111009,-0.06454,0.143736,0.136647,0.094858,0.128168,0.167129,0.009284,0.123285,36,36,36,36,36,19,36,-1.1733,-0.6398,-2.8526,-0.8972,-0.1977,-9.2131,-1.0138,0.041479,0.182479,0.180478,0.200835,0.9979,-0.007638
sahil_007.mp4,sahil_007,18,-0.062311,-0.026415,-0.092807,-0.044544,-0.007075,-0.074706,-0.047284,0.02343,0.016541,-0.103491,-0.031184,0.048861,-0.14892,-0.037823,-0.07165,-0.020269,-0.061886,-0.024214,0.007006,-0.021456,-0.026592,0,0,17,17,0,15,17,0.1526,0.3067,-1.1604,-0.7036,2.0288,-2.8525,-0.7925,-0.049873,0.214995,0.23741,0.197757,0.8065,-0.01696
sahil_008.mp4,sahil_008,34,0.016551,0.027313,0.011415,0.024794,0.038405,-0.017825,0.026156,0.000697,0.033787,0.001396,0.018611,0.023525,-0.011139,0.023137,0.080427,0.056722,0.00627,0.046774,0.093287,-0.031975,0.037748,33,33,6,33,33,12,33,-0.0923,1.305,0.9377,0.7973,0.5317,-0.6065,1.0366,0.020911,0.146966,0.147927,0.162413,0.9841,0.01374
